,img,seg
85,training_data/1-184.png,training_groundtruth/1-184.png
86,training_data/1-185.png,training_groundtruth/1-185.png
87,training_data/1-186.png,training_groundtruth/1-186.png
88,training_data/1-187.png,training_groundtruth/1-187.png
89,training_data/1-188.png,training_groundtruth/1-188.png
90,training_data/1-189.png,training_groundtruth/1-189.png
91,training_data/1-190.png,training_groundtruth/1-190.png
92,training_data/1-191.png,training_groundtruth/1-191.png
93,training_data/1-192.png,training_groundtruth/1-192.png
94,training_data/1-193.png,training_groundtruth/1-193.png
95,training_data/1-194.png,training_groundtruth/1-194.png
96,training_data/1-195.png,training_groundtruth/1-195.png
97,training_data/1-196.png,training_groundtruth/1-196.png
98,training_data/1-197.png,training_groundtruth/1-197.png
99,training_data/1-198.png,training_groundtruth/1-198.png
100,training_data/1-199.png,training_groundtruth/1-199.png
101,training_data/1-200.png,training_groundtruth/1-200.png
102,training_data/1-201.png,training_groundtruth/1-201.png
103,training_data/1-202.png,training_groundtruth/1-202.png
104,training_data/1-203.png,training_groundtruth/1-203.png
105,training_data/1-204.png,training_groundtruth/1-204.png
106,training_data/1-205.png,training_groundtruth/1-205.png
107,training_data/1-206.png,training_groundtruth/1-206.png
108,training_data/1-207.png,training_groundtruth/1-207.png
109,training_data/1-208.png,training_groundtruth/1-208.png
110,training_data/1-209.png,training_groundtruth/1-209.png
111,training_data/1-210.png,training_groundtruth/1-210.png
112,training_data/1-211.png,training_groundtruth/1-211.png
113,training_data/1-212.png,training_groundtruth/1-212.png
114,training_data/1-213.png,training_groundtruth/1-213.png
115,training_data/1-214.png,training_groundtruth/1-214.png
116,training_data/1-215.png,training_groundtruth/1-215.png
117,training_data/1-216.png,training_groundtruth/1-216.png
118,training_data/1-217.png,training_groundtruth/1-217.png
119,training_data/1-218.png,training_groundtruth/1-218.png
120,training_data/1-219.png,training_groundtruth/1-219.png
121,training_data/1-220.png,training_groundtruth/1-220.png
122,training_data/1-221.png,training_groundtruth/1-221.png
123,training_data/1-222.png,training_groundtruth/1-222.png
124,training_data/1-223.png,training_groundtruth/1-223.png
125,training_data/1-224.png,training_groundtruth/1-224.png
126,training_data/1-225.png,training_groundtruth/1-225.png
127,training_data/1-226.png,training_groundtruth/1-226.png
128,training_data/1-227.png,training_groundtruth/1-227.png
129,training_data/1-228.png,training_groundtruth/1-228.png
130,training_data/1-229.png,training_groundtruth/1-229.png
131,training_data/1-230.png,training_groundtruth/1-230.png
132,training_data/1-231.png,training_groundtruth/1-231.png
133,training_data/1-232.png,training_groundtruth/1-232.png
134,training_data/1-233.png,training_groundtruth/1-233.png
135,training_data/1-234.png,training_groundtruth/1-234.png
136,training_data/1-235.png,training_groundtruth/1-235.png
137,training_data/1-236.png,training_groundtruth/1-236.png
138,training_data/1-237.png,training_groundtruth/1-237.png
139,training_data/1-238.png,training_groundtruth/1-238.png
140,training_data/1-239.png,training_groundtruth/1-239.png
141,training_data/1-240.png,training_groundtruth/1-240.png
142,training_data/1-241.png,training_groundtruth/1-241.png
143,training_data/1-242.png,training_groundtruth/1-242.png
144,training_data/1-243.png,training_groundtruth/1-243.png
145,training_data/1-244.png,training_groundtruth/1-244.png
146,training_data/1-245.png,training_groundtruth/1-245.png
147,training_data/1-246.png,training_groundtruth/1-246.png
148,training_data/1-247.png,training_groundtruth/1-247.png
149,training_data/1-248.png,training_groundtruth/1-248.png
150,training_data/1-249.png,training_groundtruth/1-249.png
151,training_data/1-250.png,training_groundtruth/1-250.png
152,training_data/1-251.png,training_groundtruth/1-251.png
153,training_data/1-252.png,training_groundtruth/1-252.png
154,training_data/1-253.png,training_groundtruth/1-253.png
155,training_data/1-254.png,training_groundtruth/1-254.png
156,training_data/1-255.png,training_groundtruth/1-255.png
157,training_data/1-256.png,training_groundtruth/1-256.png
158,training_data/1-257.png,training_groundtruth/1-257.png
159,training_data/1-258.png,training_groundtruth/1-258.png
160,training_data/1-259.png,training_groundtruth/1-259.png
161,training_data/1-260.png,training_groundtruth/1-260.png
162,training_data/1-261.png,training_groundtruth/1-261.png
163,training_data/1-262.png,training_groundtruth/1-262.png
164,training_data/1-263.png,training_groundtruth/1-263.png
165,training_data/1-264.png,training_groundtruth/1-264.png
166,training_data/1-265.png,training_groundtruth/1-265.png
167,training_data/1-266.png,training_groundtruth/1-266.png
168,training_data/1-267.png,training_groundtruth/1-267.png
169,training_data/1-268.png,training_groundtruth/1-268.png
170,training_data/1-269.png,training_groundtruth/1-269.png
171,training_data/1-270.png,training_groundtruth/1-270.png
172,training_data/1-271.png,training_groundtruth/1-271.png
173,training_data/1-272.png,training_groundtruth/1-272.png
174,training_data/1-273.png,training_groundtruth/1-273.png
175,training_data/1-274.png,training_groundtruth/1-274.png
176,training_data/1-275.png,training_groundtruth/1-275.png
177,training_data/1-276.png,training_groundtruth/1-276.png
178,training_data/1-277.png,training_groundtruth/1-277.png
179,training_data/1-278.png,training_groundtruth/1-278.png
180,training_data/1-279.png,training_groundtruth/1-279.png
181,training_data/1-280.png,training_groundtruth/1-280.png
182,training_data/1-281.png,training_groundtruth/1-281.png
183,training_data/1-282.png,training_groundtruth/1-282.png
184,training_data/1-76.png,training_groundtruth/1-76.png
185,training_data/1-77.png,training_groundtruth/1-77.png
186,training_data/1-78.png,training_groundtruth/1-78.png
187,training_data/1-79.png,training_groundtruth/1-79.png
188,training_data/1-80.png,training_groundtruth/1-80.png
189,training_data/1-81.png,training_groundtruth/1-81.png
190,training_data/1-82.png,training_groundtruth/1-82.png
191,training_data/1-83.png,training_groundtruth/1-83.png
192,training_data/1-84.png,training_groundtruth/1-84.png
193,training_data/1-85.png,training_groundtruth/1-85.png
194,training_data/1-86.png,training_groundtruth/1-86.png
195,training_data/1-87.png,training_groundtruth/1-87.png
196,training_data/1-88.png,training_groundtruth/1-88.png
197,training_data/1-89.png,training_groundtruth/1-89.png
198,training_data/1-90.png,training_groundtruth/1-90.png
199,training_data/1-91.png,training_groundtruth/1-91.png
200,training_data/1-92.png,training_groundtruth/1-92.png
201,training_data/1-93.png,training_groundtruth/1-93.png
202,training_data/1-94.png,training_groundtruth/1-94.png
203,training_data/1-95.png,training_groundtruth/1-95.png
204,training_data/1-96.png,training_groundtruth/1-96.png
205,training_data/1-97.png,training_groundtruth/1-97.png
206,training_data/1-98.png,training_groundtruth/1-98.png
207,training_data/1-99.png,training_groundtruth/1-99.png
208,training_data/1.png,training_groundtruth/1.png
209,training_data/10.png,training_groundtruth/10.png
210,training_data/11.png,training_groundtruth/11.png
211,training_data/12.png,training_groundtruth/12.png
212,training_data/13.png,training_groundtruth/13.png
213,training_data/14.png,training_groundtruth/14.png
214,training_data/15.png,training_groundtruth/15.png
215,training_data/16.png,training_groundtruth/16.png
216,training_data/17.png,training_groundtruth/17.png
217,training_data/18.png,training_groundtruth/18.png
218,training_data/19.png,training_groundtruth/19.png
219,training_data/2.png,training_groundtruth/2.png
220,training_data/20.png,training_groundtruth/20.png
221,training_data/21.png,training_groundtruth/21.png
222,training_data/22.png,training_groundtruth/22.png
223,training_data/23.png,training_groundtruth/23.png
224,training_data/24.png,training_groundtruth/24.png
225,training_data/25.png,training_groundtruth/25.png
226,training_data/26.png,training_groundtruth/26.png
227,training_data/27.png,training_groundtruth/27.png
228,training_data/28.png,training_groundtruth/28.png
229,training_data/29.png,training_groundtruth/29.png
230,training_data/3.png,training_groundtruth/3.png
231,training_data/30.png,training_groundtruth/30.png
232,training_data/31.png,training_groundtruth/31.png
233,training_data/32.png,training_groundtruth/32.png
234,training_data/33.png,training_groundtruth/33.png
235,training_data/34.png,training_groundtruth/34.png
236,training_data/35.png,training_groundtruth/35.png
237,training_data/36.png,training_groundtruth/36.png
238,training_data/37.png,training_groundtruth/37.png
239,training_data/38.png,training_groundtruth/38.png
240,training_data/39.png,training_groundtruth/39.png
241,training_data/4.png,training_groundtruth/4.png
242,training_data/40.png,training_groundtruth/40.png
243,training_data/41.png,training_groundtruth/41.png
244,training_data/42.png,training_groundtruth/42.png
245,training_data/43.png,training_groundtruth/43.png
246,training_data/44.png,training_groundtruth/44.png
247,training_data/45.png,training_groundtruth/45.png
248,training_data/46.png,training_groundtruth/46.png
249,training_data/47.png,training_groundtruth/47.png
250,training_data/48.png,training_groundtruth/48.png
251,training_data/49.png,training_groundtruth/49.png
252,training_data/5.png,training_groundtruth/5.png
253,training_data/50.png,training_groundtruth/50.png
254,training_data/51.png,training_groundtruth/51.png
255,training_data/52.png,training_groundtruth/52.png
256,training_data/53.png,training_groundtruth/53.png
257,training_data/54.png,training_groundtruth/54.png
258,training_data/55.png,training_groundtruth/55.png
259,training_data/56.png,training_groundtruth/56.png
260,training_data/57.png,training_groundtruth/57.png
261,training_data/58.png,training_groundtruth/58.png
262,training_data/59.png,training_groundtruth/59.png
263,training_data/6.png,training_groundtruth/6.png
264,training_data/60.png,training_groundtruth/60.png
265,training_data/61.png,training_groundtruth/61.png
266,training_data/62.png,training_groundtruth/62.png
267,training_data/63.png,training_groundtruth/63.png
268,training_data/64.png,training_groundtruth/64.png
269,training_data/65.png,training_groundtruth/65.png
270,training_data/66.png,training_groundtruth/66.png
271,training_data/67.png,training_groundtruth/67.png
272,training_data/68.png,training_groundtruth/68.png
273,training_data/69.png,training_groundtruth/69.png
274,training_data/7.png,training_groundtruth/7.png
275,training_data/70.png,training_groundtruth/70.png
276,training_data/71.png,training_groundtruth/71.png
277,training_data/72.png,training_groundtruth/72.png
278,training_data/73.png,training_groundtruth/73.png
279,training_data/74.png,training_groundtruth/74.png
280,training_data/75.png,training_groundtruth/75.png
281,training_data/76.png,training_groundtruth/76.png
282,training_data/77.png,training_groundtruth/77.png
283,training_data/78.png,training_groundtruth/78.png
284,training_data/79.png,training_groundtruth/79.png
285,training_data/8.png,training_groundtruth/8.png
286,training_data/80.png,training_groundtruth/80.png
287,training_data/81.png,training_groundtruth/81.png
288,training_data/82.png,training_groundtruth/82.png
289,training_data/83.png,training_groundtruth/83.png
290,training_data/84.png,training_groundtruth/84.png
291,training_data/85.png,training_groundtruth/85.png
292,training_data/86.png,training_groundtruth/86.png
293,training_data/87.png,training_groundtruth/87.png
294,training_data/88.png,training_groundtruth/88.png
295,training_data/89.png,training_groundtruth/89.png
296,training_data/9.png,training_groundtruth/9.png
297,training_data/90.png,training_groundtruth/90.png
